id	invoice_no 	date	user_id	location_id	customer_id 	additional_fee	discount	total	payment	change	payment_type	status	posted_at	posted_by	voided_at	voided_by	created_at	updated_at
1913	2024/5.1923-6	22/04/2024			918		500000	5375000	5375000	0		posted						
1914	2024/5.1924-6	22/04/2024			885		150000	3150000	3150000	0		posted						
1915	2024/5.1925-6	23/04/2024			126			4745000	4745000	0		posted						
1916	2024/5.1926-6	24/04/2024			131			345000	345000	0		posted						
1917	2024/5.1927-6	24/04/2024			545			670000	670000	0		posted						
1918	2024/5.1928-6	25/04/2024			877	255000		2890000	2890000	0		posted						
1919	2024/5.1929-6	26/04/2024			131			230000	230000	0		posted						
1920	2024/5.1930-6	27/04/2024			294		90000	1260000	1260000	0		posted						
1921	2024/5.1931-6	29/04/2024			919	500000		4200000	4200000	0		posted						
1922	2024/5.1932-6	01/05/2024			131		200000	900000	900000	0		posted						
1923	2024/5.1933-6	02/05/2024			644			1050000	1050000	0		posted						
1924	2024/5.1934-6	02/05/2024			920			1200000	1200000	0		posted						
1925	2024/5.1935-6	02/05/2024			920			225000	225000	0		posted						
1926	2024/5.1936-6	06/05/2024			131			410000	410000	0		posted						
1927	2024/5.1937-6	02/05/2024			388			21450000	21450000	0		posted						
1928	2024/5.1938-6	03/05/2024			131			870000	870000	0		posted						
1929	2024/5.1939-6	06/05/2024			38		35000	1811000	1811000	0		posted						
1930	2024/5.1940-6	05/05/2024			921			4016400	4016400	0		posted						
1931	2024/5.1941-16	07/05/2024			131			200000	200000	0		posted						
1932	2024/5.1942-16	07/05/2024			73		120000	1510000	1510000	0		posted						
1933	2024/5.1943-16	09/05/2024			516		60000	1280000	1280000	0		posted						
1934	2024/5.1944-16	11/05/2024			131			1125000	1125000	0		posted						
1935	2024/5.1945-16	11/05/2024			615		200000	1300000	1300000	0		posted						
1936	2024/5.1946-16	11/05/2024			44	400000		4485000	4485000	0		posted						
1937	2024/5.1947-16	14/05/2024			29			577500	577500	0		posted						
1938	2024/5.1948-16	14/05/2024			922			1840000	1840000	0		posted						
1939	2024/5.1949-16	14/05/2024			131			1120000	1120000	0		posted						
1940	2024/5.1950-16	14/05/2024			131			175000	175000	0		posted						
1941	2024/5.1951-16	14/05/2024			38		20000	340000	340000	0		posted						
1942	2024/7.1952-1	15/05/2024			923	375000		3150000	3150000	0		posted						
1943	2024/7.1953-1	18/05/2024			924			1780000	1780000	0		posted						
1944	2024/7.1954-1	18/05/2024			925		30000	900000	900000	0		posted						
1945	2024/7.1955-1	19/05/2024			921		250000	1950000	1950000	0		posted						
1946	2024/7.1956-1	20/05/2024			926	120000		2160000	2160000	0		posted						
1947	2024/7.1957-1	20/05/2024			927	225000		2700000	2700000	0		posted						
1948	2024/7.1958-1	21/05/2024			131			1240000	1240000	0		posted						
1949	2024/7.1959-1	21/05/2024			131			180000	180000	0		posted						
1950	2024/7.1960-1	22/05/2024			923	300000		3075000	3075000	0		posted						
1951	2024/7.1961-1	23/05/2024			374			630000	630000	0		posted						
1952	2024/7.1962-1	23/05/2024			928			1100000	1100000	0		posted						
1953	2024/7.1963-1	01/07/2024			748			1180000	1180000	0		posted						
1954	2024/7.1964-1	25/05/2024			131			540000	540000	0		posted						
1955	2024/7.1965-1	27/05/2024			657			3450000	3450000	0		posted						
1956	2024/7.1966-1	27/05/2024			131			460000	460000	0		posted						
1957	2024/7.1967-1	28/05/2024			769		1175000	7550000	7550000	0		posted						
1958	2024/7.1968-1	28/05/2024			929			2420000	2420000	0		posted						
1959	2024/7.1969-1	28/05/2024			930			3205000	3205000	0		posted						
1960	2024/7.1970-8	29/05/2024			604		400000	5655000	5655000	0		posted						
1961	2024/7.1971-8	30/05/2024			657		30000	1200000	1200000	0		posted						
1962	2024/7.1972-8	31/05/2024			131		25000	755000	755000	0		posted						
1963	2024/7.1973-8	31/05/2024			131			345000	345000	0		posted						
1964	2024/7.1974-8	01/06/2024			594		80000	1955000	1955000	0		posted						
1965	2024/7.1975-8	04/06/2024			131			690000	690000	0		posted						
1966	2024/7.1976-8	05/06/2024			931		300000	2000000	2000000	0		posted						
1967	2024/7.1977-8	05/06/2024			131			180000	180000	0		posted						
1968	2024/7.1978-8	05/06/2024			316			4975000	4975000	0		posted						
1969	2024/7.1979-8	05/06/2024			769		70000	8380000	8380000	0		posted						
1970	2024/7.1980-8	06/06/2024			932		2500000	20000000	20000000	0		posted						
1971	2024/7.1981-8	07/06/2024			131			857500	857500	0		posted						
1972	2024/7.1982-8	07/06/2024			933		50000	3880000	3880000	0		posted						
1973	2024/7.1983-8	08/06/2024			121			180000	180000	0		posted						
1974	2024/7.1984-8	08/06/2024			934		200000	1300000	1300000	0		posted						
1975	2024/7.1985-8	10/06/2024			931		40000	200000	200000	0		posted						
1976	2024/7.1986-8	11/06/2024			131	200000		2100000	2100000	0		posted						
1977	2024/7.1987-8	11/06/2024			657			1175000	1175000	0		posted						
1978	2024/7.1988-8	11/06/2024			221			800000	800000	0		posted						
1979	2024/7.1989-8	11/06/2024			931		160000	800000	800000	0		posted						
1980	2024/7.1990-8	12/06/2024			557		200000	3400000	3400000	0		posted						
1981	2024/7.1991-8	08/07/2024			131			1150000	1150000	0		posted						
1982	2024/7.1992-8	13/06/2024			2			740000	740000	0		posted						
1983	2024/7.1993-8	13/06/2024			935			4125000	4125000	0		posted						
1984	2024/7.1994-8	14/06/2024			936			3120000	3120000	0		posted						
1985	2024/7.1995-8	15/06/2024			131			475000	475000	0		posted						
1986	2024/7.1996-8	15/06/2024			937			1300000	1300000	0		posted						
1987	2024/7.1997-8	15/06/2024			22		200000	900000	900000	0		posted						
1988	2024/7.1998-8	15/06/2024			131			702000	702000	0		posted						
1989	2024/7.1999-8	15/06/2024			938	150000		1450000	1450000	0		posted						
1990	2024/7.2000-8	15/06/2024			131		400000	3715000	3715000	0		posted						
1991	2024/7.2001-8	08/07/2024			939	200000		700000	700000	0		posted						
1992	2024/7.2002-8	18/06/2024			940			3100000	3100000	0		posted						
1993	2024/7.2003-8	18/06/2024			940			1230000	1230000	0		posted						
1994	2024/7.2004-8	18/06/2024			59			1480000	1480000	0		posted						
1995	2024/7.2005-8	20/06/2024			769		40000	1760000	1760000	0		posted						
1996	2024/7.2006-9	21/06/2024			131			460000	460000	0		posted						
1997	2024/7.2007-9	24/06/2024			161			4080000	4080000	0		posted						
1998	2024/7.2008-9	24/06/2024			941			1365000	1365000	0		posted						
1999	2024/7.2009-9	25/06/2024			942		160000	1280000	1280000	0		posted						
2000	2024/7.2010-9	26/06/2024			943			1415000	1415000	0		posted						
2001	2024/7.2011-15	22/06/2024			131		170000	4845000	4845000	0		posted						
2002	2024/7.2012-15	27/06/2024			644			840000	840000	0		posted						
2003	2024/7.2013-15	27/06/2024			689			1300000	1300000	0		posted						
2004	2024/7.2014-15	28/06/2024			944			460000	460000	0		posted						
2005	2024/7.2015-15	29/06/2024			233		100000	900000	900000	0		posted						
2006	2024/7.2016-15	29/06/2024			131			1300000	1300000	0		posted						
2007	2024/7.2017-15	29/06/2024			131			230000	230000	0		posted						
2008	2024/7.2018-15	01/07/2024			945		87000	1363000	1363000	0		posted						
2009	2024/7.2019-15	01/07/2024			233		120000	1120000	1120000	0		posted						
2010	2024/7.2020-15	01/07/2024			946	100000		1100000	1100000	0		posted						
2011	2024/7.2021-15	01/07/2024			947		200000	900000	900000	0		posted						
2012	2024/7.2022-15	02/07/2024			131		25000	750000	750000	0		posted						
2013	2024/7.2023-15	02/07/2024			131		30000	840000	840000	0		posted						
2014	2024/7.2024-15	02/07/2024			131			115000	115000	0		posted						
2015	2024/7.2025-15	03/07/2024			131		10000	215000	215000	0		posted						
2016	2024/7.2026-15	02/07/2024			131			1525000	1525000	0		posted						
2017	2024/7.2027-15	01/07/2024			769			875000	875000	0		posted						
2018	2024/7.2028-15	04/07/2024			131			240000	240000	0		posted						
2019	2024/7.2029-15	04/07/2024			291			2867000	2867000	0		posted						
2020	2024/7.2030-15	04/07/2024			131		40000	160000	160000	0		posted						
2021	2024/7.2031-15	04/07/2024			291			230000	230000	0		posted						
2022	2024/7.2032-15	04/07/2024			948			1870000	1870000	0		posted						
2023	2024/7.2033-15	04/07/2024			131			1792000	1792000	0		posted						
2024	2024/7.2034-15	05/07/2024			131		200000	1050000	1050000	0		posted						
2025	2024/7.2035-15	06/07/2024			949			6500000	6500000	0		posted						
2026	2024/7.2036-15	06/07/2024			131			604800	604800	0		posted						
2027	2024/7.2037-15	06/07/2024			950		200000	900000	900000	0		posted						
2028	2024/7.2038-15	06/07/2024			571			1100000	1100000	0		posted						
2029	2024/7.2039-15	06/07/2024			131			230000	230000	0		posted						
2030	2024/7.2040-15	06/07/2024			951			1290000	1290000	0		posted						
2031	2024/7.2041-15	08/07/2024			952			1150000	1150000	0		posted						
2032	2024/7.2042-15	09/07/2024			953			575000	575000	0		posted						
2033	2024/7.2043-15	09/07/2024			936	525000		7000000	7000000	0		posted						
2034	2024/7.2044-15	09/07/2024			954		1000000	7000000	7000000	0		posted						
2035	2024/7.2045-15	10/07/2024			955		153000	6447500	6447500	0		posted						
2036	2024/7.2046-15	11/07/2024			22		20000	600000	600000	0		posted						
2037	2024/7.2047-15	11/07/2024			885	120000		7095000	7095000	0		posted						
2038	2024/7.2048-15	12/07/2024			956		40000	1710000	1710000	0		posted						
2039	2024/7.2049-15	13/07/2024			957		200000	2800000	2800000	0		posted						
2040	2024/7.2050-22	13/07/2024			958		200000	2800000	2800000	0		posted						
2041	2024/7.2051-22	15/07/2024			959		220000	3280000	3280000	0		posted						
